index,element,allegro-mp-l,chgnet,dpa-3.1-3m-ft,dpa-3.1-mptrj,eqnorm-mptrj,hienet,mace-mp,mace-mp-0,mace-mpa-0,mattersim-v1,nequip-mp-l,nequip-oam-l,nequix-mp-pft,orb-v2,orb-v2-mptrj,orb-v3,pet-oam-xl,sevennet-l3i5,sevennet-omni,tace-v1-oam-m
34,Se,-0.8716,-1.3431,-1.0364,-0.9538,-0.9252,-1.0439,-0.9853,-1.0643,-0.7694,-2.4602,-0.8716,-0.8716,-0.8436,-0.9189,-0.9458,-2.4628,-4.3223,-0.9278,-0.9023,-0.8716
35,Br,-0.2651,-0.8244,-0.3714,-0.3524,-0.4946,-0.5037,-1.2287,-1.07,-0.2221,-2.1474,-0.2651,-0.2651,-0.4843,-0.357,-0.5929,-2.8343,-2.3829,-0.6213,-0.4939,-0.2651
36,Kr,-0.0331,1.8643,0.5041,0.0543,0.1795,0.1705,-0.0438,-0.0587,-0.0336,-0.0454,-0.0331,-0.0331,0.2834,-0.0447,-0.0216,0.0402,0.2575,-0.0504,-0.023,-0.0331
37,Rb,-0.1879,-0.6096,-0.9301,-0.5673,-0.7209,-0.9643,-0.7847,-0.9006,-0.1882,-0.9357,-0.1879,-0.1879,-0.6811,-0.5709,-0.4729,-0.8783,-0.8856,-0.9415,-0.8393,-0.1879
38,Sr,-0.068,0.0125,-0.3092,0.06,-0.1467,-1.1957,-0.1178,-1.3689,-0.0683,-1.0522,-0.068,-0.068,-0.1149,-0.3504,-0.0678,-0.5677,-1.9507,-0.4191,-0.2936,-0.068
39,Y,-2.2868,-2.1903,-2.2434,-2.6563,-2.8023,-2.4349,-2.38,-3.3075,-2.1708,-3.5864,-2.2868,-2.2868,-2.5803,-2.3943,-2.5312,-2.836,-6.4874,-2.8688,-2.3255,-2.2868
40,Zr,-2.3603,-2.5523,-2.378,-2.7636,-3.0561,-2.4617,-2.623,-4.0571,-2.2858,-3.708,-2.3603,-2.3603,-2.9955,-2.4427,-2.9957,-3.0199,-8.4152,-3.1786,-2.2022,-2.3603
41,Nb,-3.1513,-2.9544,-2.9065,-4.0614,-4.0772,-4.1022,-3.2233,-4.5393,-3.1343,-4.225,-3.1513,-3.1513,-3.9745,-3.1345,-3.7907,-3.7682,-9.0046,-3.6138,-2.8972,-3.1513
42,Mo,-4.6011,-4.5633,-4.034,-4.797,-4.7039,-3.5799,-4.6289,-5.0135,-4.6021,-5.1652,-4.6011,-4.6011,-4.707,-4.316,-4.6303,-4.7236,-9.1476,-4.3956,-4.0843,-4.6011
43,Tc,-3.5438,-4.2139,-3.7179,-3.785,-4.2326,-3.5624,-4.1021,-4.7473,-3.452,-4.4421,-3.5438,-3.5438,-3.6133,-3.5908,-4.0596,-3.9364,-8.9386,-4.0138,-3.484,-3.5438
44,Ru,-1.6595,-2.5623,-2.6274,-2.7419,-2.7834,-2.6559,-2.8137,-2.9242,-2.3807,-3.5758,-1.6595,-1.6595,-2.709,-2.5173,-3.1951,-2.9714,-7.9868,-2.5228,-2.2951,-1.6595
45,Rh,-1.6479,-2.2877,-1.836,-2.3154,-2.0322,-1.9292,-2.0476,-2.5635,-1.4686,-3.0804,-1.6479,-1.6479,-1.9761,-1.8451,-2.1424,-2.0444,-6.8576,-1.8718,-1.3061,-1.6479
46,Pd,-1.4776,-1.6441,-1.4491,-1.5841,-1.5397,-1.4698,-1.7113,-1.5437,-1.4773,-2.5812,-1.4776,-1.4776,-1.4737,-1.494,-1.5234,-1.8585,-5.1963,-1.5659,-1.5253,-1.4776
47,Ag,-0.3388,-0.5291,-0.2896,-0.3991,-0.3867,-0.2883,-0.5813,-0.2955,-0.3395,-1.3264,-0.3388,-0.3388,-0.4688,-0.225,-0.2878,-0.8508,-2.0636,-0.3771,-0.314,-0.3388
48,Cd,-0.1672,0.0133,0.0275,-0.1866,-0.1581,-0.0328,-0.0579,-0.0874,-0.1684,-0.167,-0.1672,-0.1672,-0.0428,-0.0207,-0.106,0.115,-0.2816,-0.0607,-0.0866,-0.1672
49,In,-0.4087,-0.7189,-0.7576,-0.7768,-0.8303,-0.8314,-0.7803,-1.2906,-0.3547,-1.4564,-0.4087,-0.4087,-0.6488,-0.0411,-0.7239,-0.8952,-2.2175,-1.0985,-0.7936,-0.4087
50,Sn,-0.8167,-1.1049,-0.9615,-0.9411,-0.8947,-0.9453,-1.2527,-0.725,-0.8364,-2.3121,-0.8167,-0.8167,-0.923,-0.8243,-0.9184,-1.5987,-3.7173,-0.9565,-0.873,-0.8167
51,Sb,-1.4107,-1.235,-1.2784,-1.1889,-1.4241,-1.1575,-1.1286,-1.0141,-1.411,-2.4589,-1.4107,-1.4107,-1.1649,-1.246,-1.2055,-1.8954,-3.8939,-1.2648,-0.9121,-1.4107
